Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
169 000 DH,RENAULT Clio 5 1.5 AUTHENTIC,2022,Manuelle,Diesel,72500.0,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance"
153 000 DH,hyundai ix35 modèle 2014,2014,Manuelle,Diesel,165000.0,Hyundai,ix35,5.0,WW au Maroc,Oui,7 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Vitres électriques"
349 000 DH,Peugeot 5008 2.0 GT-line,2023,Automatique,Diesel,22500.0,Peugeot,5008,5.0,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
63 000 DH,Mercedes-Benz classe E320 diesel automatique 2003,2003,Automatique,Diesel,325000.0,Mercedes-Benz,Classe E,5.0,Dédouanée,Non,13 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
128 000 DH,Seat Ibiza,2018,Manuelle,Diesel,135000.0,Seat,Ibiza,5.0,WW au Maroc,Oui,6 CV,Excellent,Aucun
88 000 DH,Jaguar xf automatique,2010,Automatique,Diesel,275000.0,Jaguar,XF,5.0,WW au Maroc,Non,12 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
120 000 DH,renault zoe,2016,Automatique,Electrique,72500.0,Renault,Zoe,5.0,WW au Maroc,Oui,10 CV,Très bon,"Caméra de recul, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
147 000 DH,Kia Picanto Essence Automatique 2024 à Casablanca,2024,Automatique,Essence,7500.0,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
640 000 DH,"Mercedes E emporter, neuf",2021,Automatique,Diesel,32500.0,Mercedes-Benz,Classe E,5.0,Importée neuve,Oui,9 CV,Excellent,"ABS, Airbags, Caméra de recul, Climatisation, ESP, Jantes aluminium, Radar de recul, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Vitres électriques"
290 000 DH,seat leon en tres bon etat,2021,Automatique,Diesel,92500.0,Seat,Leon,5.0,Dédouanée,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
