Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
169000.0,RENAULT Clio 5 1.5 AUTHENTIC,2022,Manuelle,Diesel,72500.0,Renault,Clio,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance"
153000.0,hyundai ix35 modèle 2014,2014,Manuelle,Diesel,165000.0,Hyundai,ix35,5,WW au Maroc,Oui,7 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Vitres électriques"
349000.0,Peugeot 5008 2.0 GT-line,2023,Automatique,Diesel,22500.0,Peugeot,5008,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
63000.0,Mercedes-Benz classe E320 diesel automatique 2003,2003,Automatique,Diesel,325000.0,Mercedes-Benz,Classe E,5,Dédouanée,Non,13 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
128000.0,Seat Ibiza,2018,Manuelle,Diesel,135000.0,Seat,Ibiza,5,WW au Maroc,Oui,6 CV,Excellent,Aucun
88000.0,Jaguar xf automatique,2010,Automatique,Diesel,275000.0,Jaguar,XF,5,WW au Maroc,Non,12 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
120000.0,renault zoe,2016,Automatique,Electrique,72500.0,Renault,Zoe,5,WW au Maroc,Oui,10 CV,Très bon,"Caméra de recul, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
147000.0,Kia Picanto Essence Automatique 2024 à Casablanca,2024,Automatique,Essence,7500.0,Kia,Picanto,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
290000.0,seat leon en tres bon etat,2021,Automatique,Diesel,92500.0,Seat,Leon,5,Dédouanée,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
194000.0,VW COCCINELLE NEW BEETLE 2L TDI BVA EXECUTIVE FULL,2017,Automatique,Diesel,125000.0,Volkswagen,Coccinelle,5,WW au Maroc,Oui,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
64000.0,Hyundai i 10 Essence Manuelle 2010 à Agadir,2010,Manuelle,Essence,195000.0,Hyundai,i10,5,WW au Maroc,Non,6 CV,Bon,"Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Ordinateur de bord, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
113000.0,Renault Clio Diesel Manuelle 2017 à Béni Mellal,2017,Manuelle,Diesel,105000.0,Renault,Clio,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
80000.0,Renault Scenic,2008,Manuelle,Diesel,325000.0,Renault,Scenic,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Verrouillage centralisé à distance, Vitres électriques"
270000.0,Dacia Duster Modèle 2023,2023,Automatique,Diesel,42500.0,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent,Aucun
135000.0,seat leon 2014 Tdi,2014,Manuelle,Diesel,155000.0,Seat,Leon,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
107000.0,Hyundai i40,2013,Manuelle,Diesel,225000.0,Hyundai,i40,5,WW au Maroc,Non,7 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
135000.0,داصيا دوستر,2014,Manuelle,Diesel,12500.0,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon,"CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
340000.0,BMW X3 xdrive 20d,2019,Automatique,Diesel,92500.0,BMW,X3,5,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
48000.0,kia,2004,Manuelle,Diesel,325000.0,Kia,Cerato,5,WW au Maroc,Non,8 CV,Excellent,"Airbags, Climatisation, Jantes aluminium, Radar de recul"
185000.0,BMW Série 5 Diesel Automatique 2015 à Casablanca,2015,Automatique,Diesel,185000.0,BMW,Série 5,5,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
