Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
169 000 DH,RENAULT Clio 5 1.5 AUTHENTIC,2022,Manuelle,Diesel,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance"
,Land Rover Range Rover Vogue Diesel Automatique,2024,Automatique,Diesel,10 000 - 14 999,Land Rover,Range Rover Vogue,5,WW au Maroc,,12 CV,Excellent,Aucun
125 000 DH,Dacia dokker,2021,Manuelle,Diesel,120 000 - 129 999,Dacia,Dokker,,,Oui,6 CV,,Aucun
,BMW X6 xDrive 30d Diesel,2015,Automatique,Diesel,150 000 - 159 999,BMW,X6,5,WW au Maroc,Non,12 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
153 000 DH,hyundai ix35 modèle 2014,2014,Manuelle,Diesel,160 000 - 169 999,Hyundai,ix35,5,WW au Maroc,Oui,7 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Vitres électriques"
349 000 DH,Peugeot 5008 2.0 GT-line,2023,Automatique,Diesel,20 000 - 24 999,Peugeot,5008,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
63 000 DH,Mercedes-Benz classe E320 diesel automatique 2003,2003,Automatique,Diesel,300 000 - 349 999,Mercedes-Benz,Classe E,5,Dédouanée,Non,13 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
128 000 DH,Seat Ibiza,2018,Manuelle,Diesel,130 000 - 139 999,Seat,Ibiza,,WW au Maroc,Oui,6 CV,Excellent,Aucun
,Isuzu D'max picup,2011,Manuelle,Diesel,15 000 - 19 999,Isuzu,D-Max,3,WW au Maroc,Oui,10 CV,Bon,"Climatisation, Jantes aluminium, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
88 000 DH,Jaguar xf automatique,2010,Automatique,Diesel,250 000 - 299 999,Jaguar,XF,5,WW au Maroc,Non,12 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
120 000 DH,renault zoe,2016,Automatique,Electrique,70 000 - 74 999,Renault,Zoe,5,,Oui,10 CV,Très bon,"Caméra de recul, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
147 000 DH,Kia Picanto Essence Automatique 2024 à Casablanca,2024,Automatique,Essence,5 000 - 9 999,Kia,Picanto,5,WW au Maroc,,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
640 000 DH,"Mercedes E emporter, neuf",2021,Automatique,Diesel,30 000 - 34 999,Mercedes-Benz,Classe E,5,Importée neuve,Oui,9 CV,Excellent,"ABS, Airbags, Caméra de recul, Climatisation, ESP, Jantes aluminium, Radar de recul, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Vitres électriques"
,Dacia Dokker Diesel Manuelle 2019 à Kénitra,2019,Manuelle,Diesel,120 000 - 129 999,Dacia,Dokker,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
290 000 DH,seat leon en tres bon etat,2021,Automatique,Diesel,90 000 - 94 999,Seat,Leon,5,Dédouanée,,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,seat leon,2018,Manuelle,Diesel,250 000 - 299 999,Seat,Leon,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
194 000 DH,VW COCCINELLE NEW BEETLE 2L TDI BVA EXECUTIVE FULL,2017,Automatique,Diesel,120 000 - 129 999,Volkswagen,Coccinelle,5,WW au Maroc,Oui,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,hyundai accent automatique,2022,Automatique,Diesel,95 000 - 99 999,Hyundai,Accent,5,WW au Maroc,Oui,6 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
,mercedes classe A,2019,Automatique,Diesel,150 000 - 159 999,Mercedes-Benz,Classe A,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
550 000 DH,mercedess,2007,Automatique,Diesel,25 000 - 29 999,Mercedes-Benz,207D,5,WW au Maroc,Oui,12 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,peugeot,1994,Manuelle,Diesel,5 000 - 9 999,Peugeot,306,,WW au Maroc,Oui,8 CV,Correct,"Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
670 000 DH,Mercedes GLC coupé 300 de 4 Matic  AMG BLACK LINE,2021,Automatique,Hybride,160 000 - 169 999,Mercedes-Benz,Classe GLC,5,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
64 000 DH,Hyundai i 10 Essence Manuelle 2010 à Agadir,2010,Manuelle,Essence,190 000 - 199 999,Hyundai,i10,5,,Non,6 CV,Bon,"Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Ordinateur de bord, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
113 000 DH,Renault Clio Diesel Manuelle 2017 à Béni Mellal,2017,Manuelle,Diesel,100 000 - 109 999,Renault,Clio,5,WW au Maroc,,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
80 000 DH,Renault Scenic,2008,Manuelle,Diesel,300 000 - 349 999,Renault,Scenic,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Verrouillage centralisé à distance, Vitres électriques"
,AUDI  A4 2018,2018,Automatique,Diesel,160 000 - 169 999,Audi,A4,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
270 000 DH,Dacia Duster Modèle 2023,2023,Automatique,Diesel,40 000 - 44 999,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent,Aucun
,mercedes classe A220 d limousine,2020,Automatique,Diesel,120 000 - 129 999,Mercedes-Benz,Classe A,5,Dédouanée,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
135 000 DH,seat leon 2014 Tdi,2014,Manuelle,Diesel,150 000 - 159 999,Seat,Leon,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
107 000 DH,Hyundai i40,2013,Manuelle,Diesel,200 000 - 249 999,Hyundai,i40,5,WW au Maroc,Non,7 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
135 000 DH,داصيا دوستر,2014,Manuelle,Diesel,10 000 - 14 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon,"CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
670 000 DH,Mercedes class C220 tt option importée neuve,2021,Automatique,Diesel,70 000 - 74 999,Mercedes-Benz,Classe C,5,Importée neuve,Non,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,Fiat Panda,2018,Manuelle,Diesel,10 000 - 14 999,Fiat,Panda,,Dédouanée,,7 CV,Excellent,"CD/MP3/Bluetooth, Caméra de recul, Climatisation, Radar de recul, Système de navigation/GPS, Verrouillage centralisé à distance"
340 000 DH,BMW X3 xdrive 20d,2019,Automatique,Diesel,90 000 - 94 999,BMW,X3,5,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,Mercedes classe C220 pack AMG line plus,2021,Automatique,Diesel,10 000 - 14 999,Mercedes-Benz,Classe C,5,Importée neuve,Oui,9 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,SUZUKI JIMNY,2022,Manuelle,Essence,60 000 - 64 999,Suzuki,Jimny,3,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
48 000 DH,kia,2004,Manuelle,Diesel,300 000 - 349 999,Kia,Cerato,5,WW au Maroc,Non,8 CV,Excellent,"Airbags, Climatisation, Jantes aluminium, Radar de recul"
,Porsche Cayenne Essence Automatique 2011,2011,Automatique,Essence,200 000 - 249 999,Porsche,Cayenne,5,WW au Maroc,Non,41 CV,Excellent,"ABS, Airbags, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,Ford Focus Diesel Automatique 2022 à Casablanca,2022,Automatique,Diesel,20 000 - 24 999,Ford,Focus,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
,Mercedes classe C coupe,2021,Automatique,Diesel,75 000 - 79 999,Mercedes-Benz,Classe C,3,WW au Maroc,Oui,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
185 000 DH,BMW Série 5 Diesel Automatique 2015 à Casablanca,2015,Automatique,Diesel,180 000 - 189 999,BMW,Série 5,5,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
